product_name,price
"REDMI 12 (Pastel Blue, 128 GB)","₹9,499"
"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)","₹9,999"
"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)","₹9,999"
"realme C53 (Champion Black, 128 GB)","₹9,999"
"realme C53 (Champion Black, 64 GB)","₹9,999"
"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)","₹9,999"
"realme 10 (Clash White, 64 GB)","₹9,999"
"POCO C65 (Matte Black, 128 GB)","₹9,499"
"SAMSUNG Galaxy M04 (Dark Blue, 128 GB)","₹8,108"
"vivo Y16 (Steller Black, 64 GB)","₹10,999"
"Infinix HOT 20 5G (Blaster Green, 64 GB)","₹9,999"
"SAMSUNG Galaxy A03 Core (Bronze, 32 GB)","₹6,999"
"itel S23 (Starry Black, 128 GB)","₹7,010"
"OPPO A18 (Glowing Black, 64 GB)","₹9,999"
"MOTOROLA e13 (Aurora Green, 64 GB)","₹5,999"
"LAVA Blaze 2 (Glass Blue, 128 GB)","₹8,088"
"vivo Y16 (Drizzling Gold, 64 GB)","₹9,490"
"LAVA Blaze 2 (Glass Black, 128 GB)","₹8,098"
"REDMI 9i Sport (Coral Green, 64 GB)","₹8,699"
"Nokia C32 (Breezy Mint, 64 GB)","₹7,999"
"REDMI 9i (Nature Green, 128 GB)","₹9,299"
"LAVA Blaze (Glass Green, 64 GB)","₹6,529"
"vivo Y01 (Elegant Black, 32 GB)","₹8,499"
"REDMI 9 Activ (Metallic Purple, 128 GB)","₹10,380"
"Infinix Hot 11 (Silver Wave, 64 GB)","₹9,999"
"LAVA Blaze (Glass Blue, 64 GB)","₹6,539"
"REDMI 9 Activ (Coral Green, 128 GB)","₹9,899"
"REDMI 9 Activ (Carbon Black, 64 GB)","₹8,860"
"Infinix Hot 12 (7° Purple, 64 GB)","₹9,999"
"REDMI 9i (Midnight Black, 128 GB)","₹9,299"
"Infinix Hot 12 (Polar Black, 64 GB)","₹9,999"
"Infinix Hot 12 (Turquoise Cyan, 64 GB)","₹9,999"
"Tecno Spark 9 (Infinity Black, 64 GB)","₹7,724"
"REDMI 9i Sport (Carbon Black, 64 GB)","₹9,199"
"Infinix Hot 12 (Exploratory Blue, 64 GB)","₹9,999"
"realme Narzo 50 (Speed Black, 64 GB)","₹10,390"
"Tecno Spark 9 (Sky Mirror, 64 GB)","₹7,680"
"Tecno Spark 10C (Black, 8 GB)","₹9,290"
"Micromax IN Note 1 (White, 128 GB)","₹9,990"
"realme C33 (Night Sea, 64 GB)","₹9,999"
"Infinix Hot 11 2022 (Sunset Gold, 64 GB)","₹8,690"
"LAVA Blaze Pro (Glass Blue, 64 GB)","₹8,199"
"realme C33 (Aqua Blue, 64 GB)","₹9,999"
"Infinix Smart 4 Plus (Ocean Wave, 32 GB)","₹9,999"
"Infinix Hot 12 Pro (Halo White, 64 GB)","₹9,499"
"Infinix Smart 4 Plus (Midnight Black, 32 GB)","₹9,999"
"LAVA Blaze (Glass Black, 64 GB)","₹7,490"
"Infinix Hot 12 Pro (Lightsaber Green, 64 GB)","₹9,499"
"Infinix Hot 12 Pro (Electric Blue, 64 GB)","₹9,499"
"REDMI 9i (Nature Green, 64 GB)","₹7,999"
"Infinix Hot 12 Pro (Racing Black, 64 GB)","₹9,499"
"Nokia C32 (Charcoal, 64 GB)","₹7,945"
"Infinix Hot 11 2022 (Polar Black, 64 GB)","₹9,999"
"SAMSUNG Galaxy A03 Core (Black, 32 GB)","₹7,190"
"Infinix Hot 10 Play (Aegean Blue, 64 GB)","₹8,049"
"SAMSUNG Galaxy A03 (Black, 32 GB)","₹8,888"
"LAVA Blaze Pro (Glass Orange, 64 GB)","₹8,489"
"realme 2 (Diamond Black, 32 GB)","₹9,990"
"Nokia C32 (Breezy Mint, 128 GB)","₹7,999"
"Nokia C32 (Beach Pink, 128 GB)","₹7,999"
"Tecno Spark 8 (Atlantic Blue, 64 GB)","₹8,010"
"Nokia 5.4 (Polar Night, 64 GB)","₹9,990"
"REDMI 9 Activ (Carbon Black, 128 GB)","₹9,990"
"OPPO A17K (Gold, 64 GB)","₹9,999"
"Infinix Hot 11 (Emerald Green, 64 GB)","₹9,499"
"SAMSUNG Galaxy A04e (Copper, 64 GB)","₹9,990"
"realme Narzo 50A Prime (Flash Black, 64 GB)","₹9,497"
"LAVA Blaze Pro 6GB+128GB (Glass Orange, 128 GB)","₹9,499"
"vivo Y1s (Aurora Blue, 32 GB)","₹9,449"
"Infinix Hot 8 (Cosmic Purple, 64 GB)","₹7,799"
"LAVA Blaze Nxt (Glass Blue, 64 GB)","₹9,299"
"Infinix Smart 4 Plus (Violet, 32 GB)","₹7,390"
"SAMSUNG Galaxy A03 Core (Blue, 32 GB)","₹7,299"
"Nokia 2.4 (Dusk Purple, 64 GB)","₹7,690"
"Nokia 2.4 (Fjord Blue, 64 GB)","₹7,680"
"Redmi 9 (Sky Blue, 64 GB)","₹10,990"
"OPPO A12 (Deep Blue, 32 GB)","₹9,990"
"Infinix Hot 10 Play (7° Purple, 64 GB)","₹8,039"
"SAMSUNG Galaxy A04e (Light Blue, 64 GB)","₹9,999"
"Tecno Spark 7T (Jewel Blue, 128 GB)","₹9,999"
"SAMSUNG Galaxy A03 Core (Green, 32 GB)","₹7,299"
"REDMI 9i (Sea Blue, 64 GB)","₹7,999"
"realme C33 2023 (Night Sea, 64 GB)","₹9,999"
"Infinix Hot 11 2022 (Aurora Green, 64 GB)","₹8,369"
"Nokia C21 Plus (Warm Grey, 32 GB)","₹7,990"
"SAMSUNG M02s (Black, 32 GB)","₹9,490"
"Infinix Hot 10S (Morandi Green, 64 GB)","₹9,999"
"Nokia C21 Plus (Warm Grey, 64 GB)","₹9,480"
"Nokia C21 Plus (Dark Cyan, 64 GB)","₹9,480"
"OPPO A12 (Black, 32 GB)","₹9,990"
"Infinix Hot 10S (95° Black, 64 GB)","₹9,999"
"Redmi Y2 (Gold, 32 GB)","₹9,499"
"Redmi Y2 (Blue, 32 GB)","₹9,499"
"vivo Y91i (Ocean Blue, 32 GB)","₹9,990"
"realme 2 (Diamond Red, 32 GB)","₹9,990"
"Tecno Spark 8C (Magnet Black, 64 GB)","₹7,869"
"SAMSUNG M02s (Blue, 32 GB)","₹8,490"
"Infinix Hot 8 (Shark Grey, 64 GB)","₹9,959"
"Nokia C21 Plus (Dark Cyan, 32 GB)","₹7,990"
"Nokia C 30 (White, 32 GB)","₹9,990"
"Redmi 8A Dual (Midnight Grey, 64 GB)","₹9,999"
"SAMSUNG Galaxy F02s (Diamond White, 32 GB)","₹9,490"
"vivo Y12s (Glacier Blue, 32 GB)","₹9,990"
"vivo Y12s (Phantom Black, 32 GB)","₹9,990"
"Tecno Spark 9T (Turquoise Cyan, 64 GB)","₹9,299"
"Infinix Hot 10 (Ocean Wave, 64 GB)","₹9,999"
"REDMI 9i (Sea Blue, 128 GB)","₹9,790"
"realme C35 (Glowing Black, 64 GB)","₹9,699"
"ASUS Zenfone Max (Blue, 32 GB)","₹9,999"
"ASUS Zenfone Max (Black, 32 GB)","₹9,999"
"Tecno Spark Power 2 Air (Cosmic Shine, 32 GB)","₹9,999"
"I Kall K570 (Pink, 64 GB)","₹9,999"
"Micromax Canvas 6 (Champagne, 32 GB)","₹9,999"
"Moto E4 Plus (Iron Gray, 32 GB)","₹9,999"
"SAMSUNG Galaxy A03 (Blue, 32 GB)","₹9,999"
"SAMSUNG Galaxy M04 (Dark Blue, 64 GB)","₹7,589"
"vivo Y16 (Steller Black, 64 GB)","₹9,788"
"Tecno Spark 10c (Meta Blue, 128 GB)","₹9,699"
"Tecno Spark 8T (Atlantic Blue, 64 GB)","₹9,999"
"Nokia C32 (Beach Pink, 128 GB)","₹8,999"
"Tecno Spark 9 (Sky Mirror, 128 GB)","₹9,599"
"Tecno Spark 9T (Atlantic Blue, 64 GB)","₹9,500"
"OPPO A12 (Blue, 32 GB)","₹9,990"
"LAVA Blaze Pro (Glass Gold, 64 GB)","₹8,989"
"Infinix HOT 30i (Glacier Blue, 128 GB)","₹8,299"
"realme C55 (Rainy Night, 64 GB)","₹8,499"
"POCO C65 (Matte Black, 128 GB)","₹8,499"
"POCO M5 (Icy Blue, 128 GB)","₹8,999"
"POCO M5 (Power Black, 128 GB)","₹8,999"
"REDMI A2+ (Sea Green, 128 GB)","₹7,415"
"SAMSUNG Galaxy M04 (Light Green, 64 GB)","₹7,599"
"REDMI 9i Sport (Metallic Blue, 64 GB)","₹8,699"
"LAVA YUVA 2 PRO (GLASS LAVENDER, 64 GB)","₹7,999"
"realme Narzo 50i Prime (Dark Blue, 64 GB)","₹8,499"
"Nokia G11 Plus DS 50MP Camera, 8MP+2MP Dual Front Camera (Grey, 64 GB)","₹7,889"
"REDMI A1+ (Light Blue, 32 GB)","₹8,499"
"Tecno Spark Go 2023 (Nebula Purple, 64 GB)","₹6,960"
"Infinix HOT 12 Play (Racing Black, 64 GB)","₹8,999"
"Nokia G11 Plus TA-1438 DS (Blue, 64 GB)","₹7,890"
"Nokia G11 Plus TA-1438 DS (Grey, 64 GB)","₹7,790"
"I Kall Z19 Ultra Plus (Jordy blue, 128 GB)","₹8,299"
"Infinix HOT 12 Play (Daylight Green, 64 GB)","₹8,999"
"Infinix Smart 6 Plus (Miracle Black, 64 GB)","₹8,299"
"itel Vision 3 (Deep Ocean Black, 64 GB)","₹5,990"
"LAVA Z2 (Aqua Blue, 32 GB)","₹8,999"
"Infinix HOT 12 Play (Champagne Gold, 64 GB)","₹8,999"
"Tecno Spark 8P (Atlantic Blue, 64 GB)","₹8,180"
"realme C33 (Aqua Blue, 32 GB)","₹8,999"
"Infinix Hot 10 Play (Aegean Blue, 32 GB)","₹8,299"
"Nokia C12 Pro Dual Sim | 6.3 inch Display | 4000 mAh Battery (Charcoal, 64 GB)","₹7,390"
"realme C33 (Sandy Gold, 32 GB)","₹8,999"
"Infinix Smart 6 Plus (Tranquil Sea Blue, 64 GB)","₹7,040"
"LAVA Z2C (Aqua Blue, 32 GB)","₹5,580"
"itel Vision1 (Gradation Blue, 32 GB)","₹5,898"
"vivo Y01A (Sapphire Blue, 32 GB)","₹8,489"
"itel Vision1 (Gradation Green, 32 GB)","₹5,899"
"LAVA Yuva 2 (Blue, 64 GB)","₹6,999"
"REDMI A1+ (Black, 32 GB)","₹8,499"
"LAVA Z6 (Aqua Blue, 64 GB)","₹8,499"
"Tecno Spark 8P (Tahiti Gold, 64 GB)","₹8,090"
"SAMSUNG M02s (Blue, 64 GB)","₹8,990"
"Redmi Y2 (Gold, 64 GB)","₹8,999"
"realme C1 (Navy Blue, 16 GB)","₹8,490"
"Tecno Spark 8P (Turquoise Cyan, 64 GB)","₹8,090"
"vivo Y01 (Sapphire Blue, 32 GB)","₹8,790"
"Realme C30 - Locked with Airtel Prepaid (Bamboo Green, 32 GB)","₹8,499"
"LAVA Blaze Nxt (Glass Green, 64 GB)","₹7,799"
"I Kall Z14 Pro (Blue, 128 GB)","₹8,389"
"realme C33 (Night Sea, 32 GB)","₹8,999"
"MOTOROLA e22s (Eco Black, 64 GB)","₹8,750"
"Nokia 2.4 (Charcoal Grey, 64 GB)","₹7,690"
"Nokia C20 Plus Smartphone (Ocean Blue, 32 GB)","₹8,849"
"Nokia C20 Plus Smartphone (Ocean Blue, 32 GB)","₹8,999"
"realme C1 (Mirror Black, 16 GB)","₹7,490"
"Nokia C20 Plus Smartphone (Dark Grey, 32 GB)","₹8,999"
"LAVA Z90 (Blue, 32 GB)","₹7,189"
"vivo Y3s (Starry Blue, 32 GB)","₹8,990"
"Redmi 8A Dual (Sky White, 32 GB)","₹8,999"
"realme C31 (Light Silver, 64 GB)","₹8,749"
"Redmi 9A (Midnight Black, 32 GB)","₹8,999"
"Redmi 9A (Nature Green, 32 GB)","₹8,999"
"Tecno Spark 8C (Turquoise Cyan, 64 GB)","₹7,190"
"Tecno Spark 8C (Turquoise Cyan, 64 GB)","₹8,599"
"Redmi 9A (Sea Blue, 32 GB)","₹8,249"
"realme C31 (Dark Green, 64 GB)","₹8,749"
"Tecno Spark 8C (Magnet Black, 64 GB)","₹8,699"
"Infinix Note 4 (Ice Blue, 32 GB)","₹8,999"
"LAVA Z66 (Marine Blue, 32 GB)","₹8,499"
"GIONEE F205 (Black and Gold, 16 GB)","₹8,479"
"REDMI 9i (Midnight Black, 64 GB)","₹8,499"
"Tecno Spark 8 (Atlantic Blue, 64 GB)","₹8,450"
"ASUS Zenfone 2 Laser ZE550KL (Black, 16 GB)","₹8,499"
"ASUS Zenfone 2 Laser ZE550KL (Red, 16 GB)","₹8,499"
"ASUS Zenfone 5 (Black, 8 GB)","₹8,499"
"Panasonic P55 Max (Matte Black, 16 GB)","₹8,499"
"iVoomi i2 (Indigo Blue, 32 GB)","₹8,999"
"LAVA Z6 (Aqua blue, 64 GB)","₹8,997"
"Moto E4 Plus (Fine Gold, 32 GB)","₹8,999"
"SAMSUNG Galaxy M04 (Light Green, 128 GB)","₹8,420"
"Tecno Spark Go 2023 (UYUNI BLUE, 32+3 GB)","₹6,195"
"Tecno Spark Go 2023 (Endless Black, 32+3 GB)","₹6,539"
"LAVA Z3 (Striped Blue, 32 GB)","₹6,599"
"Tecno Spark 9T (Iris Purple, 64 GB)","₹8,790"
"POCO C55 (Cool Blue, 128 GB)","₹7,499"
"SAMSUNG Galaxy F04 (Opal Green, 64 GB)","₹7,499"
"Infinix HOT 30i (Diamond White, 64 GB)","₹7,499"
"POCO C55 (Power Black, 128 GB)","₹7,499"
"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)","₹7,499"
"MOTOROLA e13 (Cosmic Black, 128 GB)","₹7,499"
"MOTOROLA e32 (Eco Black, 64 GB)","₹7,999"
"Infinix HOT 20 Play (Fantasy Purple, 64 GB)","₹7,499"
"Infinix HOT 20 Play (Aurora Green, 64 GB)","₹7,499"
"POCO M5 (Power Black, 64 GB)","₹7,999"
"itel A60S (SHADOW BLACK, 128 GB)","₹6,799"
"I Kall Z19Pro (Blue, 64 GB)","₹7,599"
